tcgdex_id,name,number,avg1_eur,avg1_usd,updated,run_timestamp,eurusd_rate
lc-1,Alakazam,1/110,29,33.88,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pl4-1,Charizard,1/99,40.03,46.77,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pl2-1,Arcanine,1/111,16.5,19.28,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ru1-1,Venusaur,1/16,20,23.37,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo4-1,Dark Ampharos,1/105,28,32.72,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo2-1,Espeon,1/75,24.99,29.20,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
si1-1,Mew,1/18,349.99,408.93,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
xy1-1,Venusaur EX,1/146,13.99,16.35,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
dp2-1,Aggron,1/122,17.62,20.59,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop4-1,Chimecho δ,1/17,340,397.26,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop3-1,Blastoise,1/17,99.95,116.78,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop2-1,Entei,1/17,50,58.42,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop1-1,Blaziken,1/17,12.95,15.13,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop7-1,Ampharos,1/17,14.99,17.51,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop5-1,Ho-Oh,1/17,54.99,64.25,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym2-1,Blaine's Arcanine,1/132,24.89,29.08,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym1-1,Blaine's Moltres,1/132,89.49,104.56,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard1-1,Alakazam,1/165,62.95,73.55,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
bog-1,Electabuzz,1/9,22.5,26.29,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard2-1,Ampharos,1/147,99.95,116.78,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex3-1,Absol,1/97,22.5,26.29,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base2-1,Clefable,1/64,85,99.31,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex5.5-1,Treecko,1/5,500,584.20,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base5-1,Dark Alakazam,1/82,29.21,34.13,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex11-1,Beedrill δ,1/113,13,15.19,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base1-1,Alakazam,1/102,90,105.16,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex10-1,Ampharos,1/115,13.69,16.00,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base4-1,Alakazam,1/130,38.99,45.56,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
base3-1,Aerodactyl,1/62,25.97,30.34,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
sm9-1,Celebi & Venusaur GX,1/181,16.97,19.83,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
mep-001,Meganium,001/10,17.5,20.45,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
sm12-1,Venusaur & Snivy GX,1/236,14.19,16.58,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
sm11-1,Rowlet & Alolan Exeggutor GX,1/236,14.69,17.16,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
lc-2,Articuno,2/110,16,18.69,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
cel25-2A,Blastoise,2A/25,17.9,20.91,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo4-2,Dark Crobat,2/105,95,111.00,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo2-2,Forretress,2/75,99.99,116.83,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
si1-2,Pidgeot,2/18,18,21.03,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
neo3-2,Blissey,2/64,14.95,17.47,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
dp6-2,Dragonite,2/146,24,28.04,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
col1-2,Deoxys,2/95,82.95,96.92,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop1-2,Metagross,2/17,25,29.21,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
pop5-2,Lugia,2/17,45,52.58,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym2-2,Blaine's Charizard,2/132,500,584.20,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
gym1-2,Brock's Rhydon,2/132,16.25,18.99,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
bog-2,Hitmonchan,2/9,23.99,28.03,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard2-2,Arcanine,2/147,300,350.52,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ecard3-2,Alakazam,2/144,160,186.94,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex14-2,Blastoise δ,2/100,47.25,55.21,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex3-2,Altaria,2/97,24.99,29.20,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
ex16-2,Altaria,2/108,14,16.36,2026-01-07T01:48:13.000Z,2026-01-07T22:01:41.172350+00:00,1.1684
